S S1 0.272073485491341952
S S2 0.03314175062425705
S S3 0.11956421940992064
S S4 0.10552514707977759
S S5 0.09212492870312247
S S6 0.12534418079180404
S S7 0.08996069467106074
S S8 0.05282348634514533
S S9 0.1094421
S1 A1_1 A1_3 1.0
S2 A1_1 A1_7 1.0
S3 A1_8 A1_5 1.0
S4 A1_4 A1_0 1.0
S5 A1_1 A1_2 1.0
S6 A1_1 A1_6 1.0
S7 A1_4 A1_7 1.0
S8 A1_4 A1_4 1.0
S9 A1_0 A1_3 1.0
A1_0 A2_2 A2_6 0.03422952360702312
A1_0 A2_0 A2_6 0.03667316685008986
A1_0 A2_3 A2_3 0.013602542186868153
A1_0 A2_3 A2_8 0.007454446090330336
A1_0 A2_8 A2_4 0.056757738391363825
A1_0 A2_2 A2_1 0.029861780377514923
A1_0 A2_6 A2_6 0.058583838613034595
A1_0 A2_0 A2_2 0.06197437593388027
A1_0 A2_0 A2_7 0.019653451456423127
A1_0 A2_8 A2_9 0.06264609463173591
A1_0 A2_7 A2_2 0.07678921624649784
A1_0 A2_4 A2_2 0.007325069240030202
A1_0 A2_2 A2_5 0.038909244617158806
A1_0 A2_8 A2_7 0.021285513795166255
A1_0 A2_3 A2_5 0.06583438186028216
A1_0 A2_6 A2_9 0.01995363231191231
A1_0 A2_9 A2_6 0.07277153054820065
A1_0 A2_0 A2_9 0.07050951635837908
A1_0 A2_9 A2_3 0.044940609703750474
A1_0 A2_5 A2_5 0.01372197443719029
A1_0 korean 0.18652235274316784
A1_1 A2_0 A2_2 0.012488616854733283
A1_1 A2_5 A2_5 0.0768926502424214
A1_1 A2_7 A2_3 0.06965742969339848
A1_1 A2_5 A2_2 0.06544192174000368
A1_1 A2_2 A2_5 0.053163912740078166
A1_1 A2_8 A2_4 0.04717608488733039
A1_1 A2_2 A2_7 0.0713176817667039
A1_1 A2_4 A2_7 0.0020875428728267206
A1_1 A2_5 A2_5 0.06514837727041102
A1_1 A2_5 A2_1 0.013659045999849203
A1_1 A2_5 A2_8 0.05529138419224245
A1_1 A2_9 A2_1 0.037389971145941975
A1_1 A2_5 A2_3 0.03879810246797175
A1_1 A2_1 A2_2 0.04206431707952828
A1_1 A2_3 A2_8 0.06862372225540989
A1_1 A2_4 A2_6 0.0710027511177191
A1_1 A2_9 A2_7 0.02859551032931193
A1_1 A2_5 A2_9 0.05576068794090237
A1_1 A2_9 A2_5 0.006399837125689245
A1_1 A2_1 A2_5 0.007387461567142436
A1_1 enter 0.11165299071038426
A1_2 A2_6 A2_0 0.0077044148695232535
A1_2 A2_0 A2_3 0.0055231453482433735
A1_2 A2_9 A2_3 0.05669478676218663
A1_2 A2_7 A2_6 0.0616995488768236
A1_2 A2_6 A2_8 0.07946027056541992
A1_2 A2_2 A2_8 0.06909634749767636
A1_2 A2_3 A2_8 0.07374478635896567
A1_2 A2_2 A2_6 0.06953525694353341
A1_2 A2_8 A2_2 0.050313591597675
A1_2 A2_5 A2_0 0.06941758699373211
A1_2 A2_0 A2_9 0.0333112850666721
A1_2 A2_9 A2_7 0.048887092464965164
A1_2 A2_1 A2_7 0.011925442062071771
A1_2 A2_9 A2_4 0.0793987531561721
A1_2 A2_1 A2_7 0.07545018977724269
A1_2 A2_1 A2_9 0.047879762001863856
A1_2 A2_4 A2_4 0.0044001789386559085
A1_2 A2_1 A2_7 0.05552696768540534
A1_2 A2_8 A2_8 0.05018530743600902
A1_2 A2_4 A2_0 0.00884357092410981
A1_2 perform 0.04100171467305301
A1_3 A2_6 A2_4 0.0696014653652695
A1_3 A2_1 A2_2 0.0023442655249571757
A1_3 A2_3 A2_9 0.0505666137611532
A1_3 A2_3 A2_9 0.0715755580823281
A1_3 A2_1 A2_8 0.03692717945086338
A1_3 A2_2 A2_7 0.006090366320943643
A1_3 A2_5 A2_9 0.07455994650334921
A1_3 A2_3 A2_6 0.07151955746295889
A1_3 A2_7 A2_7 0.04453800551650609
A1_3 A2_8 A2_0 0.026451536488225645
A1_3 A2_1 A2_4 0.03317865050409039
A1_3 A2_7 A2_2 0.011075565364154593
A1_3 A2_9 A2_0 0.0015001525227012018
A1_3 A2_0 A2_2 0.056235710332079615
A1_3 A2_7 A2_4 0.04807571456071244
A1_3 A2_2 A2_8 0.03208433349026392
A1_3 A2_6 A2_4 0.018019243800676762
A1_3 A2_6 A2_5 0.01008349150737867
A1_3 A2_2 A2_6 0.010797896709201725
A1_3 A2_4 A2_0 0.006711070469409053
A1_3 wooden 0.3180636762627768
A1_4 A2_4 A2_8 0.033638161869937656
A1_4 A2_0 A2_4 0.07697601814641615
A1_4 A2_5 A2_6 0.042302342963913005
A1_4 A2_6 A2_0 0.025826670631315028
A1_4 A2_9 A2_6 0.036113727791143364
A1_4 A2_4 A2_0 0.00014504249792369377
A1_4 A2_2 A2_3 0.0036614089439217777
A1_4 A2_5 A2_2 0.014494032621939608
A1_4 A2_6 A2_5 0.03318828652047691
A1_4 A2_9 A2_5 0.03713836095854974
A1_4 A2_5 A2_8 0.07639117740052533
A1_4 A2_3 A2_3 0.03886820513120665
A1_4 A2_1 A2_4 0.04046264600723964
A1_4 A2_9 A2_8 0.05126299279787506
A1_4 A2_7 A2_4 0.0560386094867538
A1_4 A2_2 A2_3 0.04159566633339432
A1_4 A2_8 A2_8 0.0752673187713602
A1_4 A2_0 A2_5 0.022192478917957812
A1_4 A2_7 A2_8 0.0009177150885733452
A1_4 A2_0 A2_5 0.01481469819389966
A1_4 snow 0.2787044389256772
A1_5 A2_7 A2_8 0.07472964733708908
A1_5 A2_5 A2_9 0.025566778841515217
A1_5 A2_1 A2_7 0.04605701770918031
A1_5 A2_8 A2_6 0.07469055665170861
A1_5 A2_6 A2_2 0.025133658111828033
A1_5 A2_0 A2_3 0.03263885310718081
A1_5 A2_0 A2_0 0.06767637682061597
A1_5 A2_4 A2_7 0.01901111500654676
A1_5 A2_6 A2_9 0.07903891474322622
A1_5 A2_1 A2_6 0.06676928357173098
A1_5 A2_6 A2_3 0.020503352890910563
A1_5 A2_2 A2_3 0.009213945995288174
A1_5 A2_6 A2_8 0.05434579352265604
A1_5 A2_4 A2_9 0.011567923075654749
A1_5 A2_7 A2_8 0.0022256938298530742
A1_5 A2_4 A2_2 0.017375012409235994
A1_5 A2_6 A2_7 0.05841020046149063
A1_5 A2_6 A2_2 0.03454268939963094
A1_5 A2_4 A2_5 0.017881922858959468
A1_5 A2_3 A2_5 0.05424675785605699
A1_5 mix 0.20837450579964129
A1_6 A2_4 A2_1 0.050281087058693275
A1_6 A2_9 A2_7 0.07759846732798625
A1_6 A2_9 A2_6 0.0726692935142709
A1_6 A2_0 A2_5 0.0748673744300769
A1_6 A2_9 A2_1 0.04202029824771449
A1_6 A2_5 A2_7 0.0450447229673192
A1_6 A2_5 A2_5 0.051355017871808954
A1_6 A2_0 A2_0 0.0028676591981974895
A1_6 A2_4 A2_8 0.057377235521502645
A1_6 A2_2 A2_7 0.004457473503994708
A1_6 A2_3 A2_6 0.008784367926732184
A1_6 A2_7 A2_6 0.060785530406126144
A1_6 A2_0 A2_9 0.06158114561701859
A1_6 A2_5 A2_3 0.0794444432285186
A1_6 A2_8 A2_0 0.014752653571914473
A1_6 A2_0 A2_3 0.07748840104045908
A1_6 A2_1 A2_2 0.020958766663817286
A1_6 A2_4 A2_7 0.07946543358460968
A1_6 A2_4 A2_5 0.06475898429001971
A1_6 ass 0.05344164402921939
A1_7 A2_8 A2_4 0.015354953145942506
A1_7 A2_6 A2_8 0.019668902597370804
A1_7 A2_9 A2_8 0.061262864737788414
A1_7 A2_4 A2_9 0.05320908959048709
A1_7 A2_7 A2_6 0.012636294081687417
A1_7 A2_4 A2_9 0.04818124312393448
A1_7 A2_6 A2_9 0.03600826967213317
A1_7 A2_6 A2_1 0.020961542343468215
A1_7 A2_6 A2_5 0.027229531819221546
A1_7 A2_9 A2_3 0.05795733753407631
A1_7 A2_6 A2_9 0.01807817722620935
A1_7 A2_6 A2_3 0.0332162422987181
A1_7 A2_1 A2_6 0.05226453504300074
A1_7 A2_5 A2_4 0.0049538543977299425
A1_7 A2_9 A2_0 0.07487548661600629
A1_7 A2_6 A2_8 0.07661939805262476
A1_7 A2_9 A2_3 0.002961632969461824
A1_7 A2_1 A2_0 0.016777827167269672
A1_7 A2_8 A2_0 0.03616490835150769
A1_7 A2_1 A2_1 0.01588543141993141
A1_7 interior 0.31573247781143027
A1_8 A2_5 A2_4 0.010857440897820739
A1_8 A2_9 A2_2 0.0773700358652869
A1_8 A2_1 A2_2 0.0479036499336764
A1_8 A2_0 A2_4 0.004153622664125637
A1_8 A2_6 A2_4 0.020220447831487715
A1_8 A2_4 A2_6 0.07801849440671453
A1_8 A2_2 A2_5 0.007144493116026551
A1_8 A2_2 A2_7 0.048775747045950245
A1_8 A2_8 A2_4 0.0026461287054549924
A1_8 A2_6 A2_4 0.0062379450862955245
A1_8 A2_0 A2_8 0.07491500986494211
A1_8 A2_1 A2_1 0.0647993898439735
A1_8 A2_3 A2_2 0.044941229832806226
A1_8 A2_0 A2_1 0.026771878112394138
A1_8 A2_4 A2_8 0.028442280974259507
A1_8 A2_0 A2_0 0.045835169142595444
A1_8 A2_5 A2_9 0.04584010579273278
A1_8 A2_4 A2_3 0.05074575947651307
A1_8 A2_3 A2_2 0.05164725769601189
A1_8 A2_8 A2_6 0.03439198868180131
A1_8 lewis 0.22834192502913103
A1_9 A2_5 A2_2 0.03139198971691922
A1_9 A2_8 A2_7 0.0488417308713839
A1_9 A2_1 A2_3 0.07805319328592963
A1_9 A2_1 A2_1 0.027787848182592584
A1_9 A2_4 A2_2 0.051209482375883374
A1_9 A2_9 A2_1 0.03841910948715841
A1_9 A2_7 A2_5 0.004479074409266213
A1_9 A2_0 A2_9 0.07397919785838053
A1_9 A2_6 A2_6 0.04044770710457556
A1_9 A2_2 A2_9 0.04867166272222245
A1_9 A2_2 A2_9 0.04319186403616849
A1_9 A2_8 A2_0 0.05214067236171596
A1_9 A2_4 A2_6 0.02642596703606662
A1_9 A2_7 A2_5 0.005876510053797245
A1_9 A2_3 A2_1 0.06263805520780069
A1_9 A2_1 A2_3 0.07182162571311637
A1_9 A2_9 A2_8 0.026575384792620296
A1_9 A2_4 A2_8 0.04039593050869672
A1_9 A2_9 A2_6 0.07878715197235768
A1_9 A2_4 A2_6 0.0632769694101853
A1_9 rare 0.08558887289316257
A2_0 A3_7 A3_7 0.059652589106519854
A2_0 A3_7 A3_0 0.05542129655865946
A2_0 A3_4 A3_3 0.038593197186067955
A2_0 A3_8 A3_0 0.006569191462659227
A2_0 A3_0 A3_8 0.054649494913591334
A2_0 A3_2 A3_9 0.01909551163828968
A2_0 A3_8 A3_3 0.05349372937653538
A2_0 A3_0 A3_5 0.02338568342906681
A2_0 A3_7 A3_1 0.06873967625447341
A2_0 A3_2 A3_7 0.007315566923600263
A2_0 A3_3 A3_7 0.055086208864159325
A2_0 A3_4 A3_9 0.04764064533685347
A2_0 A3_2 A3_2 0.07297043222510172
A2_0 A3_7 A3_4 0.046070115639453964
A2_0 A3_4 A3_3 0.005596143706443559
A2_0 A3_2 A3_5 0.051652458425768134
A2_0 A3_1 A3_5 0.052359674854202176
A2_0 A3_1 A3_2 0.029084145446151365
A2_0 A3_1 A3_2 0.018631861330117523
A2_0 A3_6 A3_9 0.009128686031299307
A2_0 bird 0.22486369129098638
A2_1 A3_0 A3_0 0.0350106459785081
A2_1 A3_5 A3_0 0.04389298694931469
A2_1 A3_2 A3_0 0.043985644565694586
A2_1 A3_0 A3_2 0.053493894078533596
A2_1 A3_0 A3_5 0.017387263144720146
A2_1 A3_2 A3_6 0.02344723219313401
A2_1 A3_5 A3_2 0.0668097150256245
A2_1 A3_6 A3_3 0.07249257441653763
A2_1 A3_6 A3_8 0.04181612872897411
A2_1 A3_0 A3_9 0.04700153999969765
A2_1 A3_1 A3_5 0.008951558656559291
A2_1 A3_6 A3_5 0.05499008905187467
A2_1 A3_7 A3_5 0.056672589086787954
A2_1 A3_1 A3_6 0.018210545527174538
A2_1 A3_4 A3_1 0.07194710148602755
A2_1 A3_9 A3_5 0.07776826285698571
A2_1 A3_6 A3_8 0.025751118563664552
A2_1 A3_2 A3_5 0.024777118473762426
A2_1 A3_5 A3_0 0.06633525204476774
A2_1 A3_9 A3_4 0.07138421729776716
A2_1 apparently 0.07787452187388934
A2_2 A3_4 A3_1 0.02851726119848317
A2_2 A3_0 A3_9 0.04727059074317597
A2_2 A3_4 A3_2 0.02874627347639862
A2_2 A3_1 A3_2 0.00023883309262379707
A2_2 A3_7 A3_2 0.05923593156087797
A2_2 A3_3 A3_0 0.007681276425441856
A2_2 A3_6 A3_3 0.04185787140964507
A2_2 A3_6 A3_9 0.06358630496064804
A2_2 A3_0 A3_6 0.053039034022148754
A2_2 A3_4 A3_8 0.07092526756399664
A2_2 A3_5 A3_3 0.03686068805781763
A2_2 A3_2 A3_7 0.0650501829689689
A2_2 A3_3 A3_5 0.016490600802687848
A2_2 A3_1 A3_8 0.06934882566263381
A2_2 A3_5 A3_0 0.055706587836638115
A2_2 A3_9 A3_1 0.050968476159506164
A2_2 A3_4 A3_7 0.043973842309017394
A2_2 A3_5 A3_2 0.03101859787352158
A2_2 A3_3 A3_8 0.03183454036290806
A2_2 A3_3 A3_8 0.0014516516896601226
A2_2 attempts 0.19619736182320072
A2_3 A3_0 A3_0 0.0740294354856559
A2_3 A3_7 A3_5 0.029213851247256315
A2_3 A3_2 A3_4 0.021663175222212967
A2_3 A3_9 A3_2 0.022058832766778714
A2_3 A3_5 A3_3 0.041431681360913256
A2_3 A3_8 A3_2 0.06414016213766803
A2_3 A3_2 A3_3 0.02388592003894775
A2_3 A3_0 A3_2 0.07765428295057228
A2_3 A3_3 A3_0 0.03957085680845027
A2_3 A3_7 A3_9 0.013178542017640077
A2_3 A3_6 A3_0 0.030762223299497366
A2_3 A3_5 A3_3 0.01025692803319398
A2_3 A3_9 A3_4 0.0759096344362672
A2_3 A3_7 A3_3 0.031511041303756496
A2_3 A3_7 A3_7 0.06688642645699514
A2_3 A3_5 A3_8 0.03983845417954928
A2_3 A3_7 A3_4 0.0368746512306191
A2_3 A3_6 A3_3 0.07603690927164887
A2_3 A3_8 A3_8 0.048002508551662444
A2_3 A3_0 A3_0 0.04355461062385096
A2_3 height 0.13353987257686356
A2_4 A3_8 A3_0 0.022717126876134103
A2_4 A3_3 A3_1 0.05825123030296732
A2_4 A3_1 A3_7 0.04937250454234252
A2_4 A3_0 A3_5 0.04714826543610391
A2_4 A3_9 A3_9 0.07977112264046408
A2_4 A3_8 A3_5 0.04521453810923378
A2_4 A3_9 A3_1 0.03508721693237306
A2_4 A3_9 A3_2 0.030193608591986124
A2_4 A3_4 A3_3 0.0323649758413046
A2_4 A3_6 A3_9 0.040804210843181775
A2_4 A3_0 A3_4 0.026998532145172765
A2_4 A3_9 A3_1 0.002040416459140378
A2_4 A3_8 A3_6 0.0594180446762875
A2_4 A3_6 A3_2 0.04000654814184274
A2_4 A3_7 A3_8 0.05739368822866098
A2_4 A3_7 A3_5 0.048891090458841956
A2_4 A3_4 A3_3 0.02647237177538171
A2_4 A3_5 A3_2 0.015810282634762342
A2_4 A3_3 A3_2 0.04003812195597563
A2_4 A3_2 A3_9 0.06875641735798835
A2_4 communist 0.17324968604985433
A2_5 A3_0 A3_1 0.03108065961815353
A2_5 A3_9 A3_3 0.05602518786693755
A2_5 A3_0 A3_9 0.012750978940463824
A2_5 A3_9 A3_4 0.043038112685814534
A2_5 A3_0 A3_6 0.03377531258027794
A2_5 A3_9 A3_9 0.06576291721267655
A2_5 A3_0 A3_0 0.02285671532386479
A2_5 A3_1 A3_0 0.020296294932671453
A2_5 A3_0 A3_4 0.06648880832457381
A2_5 A3_5 A3_6 0.0624951282953817
A2_5 A3_9 A3_0 0.019575750102941502
A2_5 A3_0 A3_9 0.010220835053345215
A2_5 A3_2 A3_4 0.06565000809879697
A2_5 A3_4 A3_2 0.015571959680218383
A2_5 A3_5 A3_3 0.03138480502382803
A2_5 A3_3 A3_3 0.0038473917235101276
A2_5 A3_4 A3_7 0.03468712181237991
A2_5 A3_6 A3_8 0.06355634904591792
A2_5 A3_0 A3_3 0.0068605125924582145
A2_5 A3_6 A3_7 0.028260374336957522
A2_5 faith 0.3058147767488303
A2_6 A3_6 A3_6 0.06607387854461602
A2_6 A3_5 A3_7 0.07848310790527839
A2_6 A3_2 A3_8 0.07631065160851899
A2_6 A3_7 A3_1 0.01231130210201286
A2_6 A3_3 A3_2 0.033269870206122314
A2_6 A3_9 A3_4 0.06576133643514613
A2_6 A3_9 A3_7 0.011949671510975677
A2_6 A3_2 A3_4 0.02138558152509562
A2_6 A3_6 A3_3 0.07110285749255187
A2_6 A3_6 A3_0 0.018595593694949314
A2_6 A3_4 A3_5 0.06427807369307871
A2_6 A3_2 A3_0 0.03708461025205438
A2_6 A3_7 A3_9 0.047344660233347276
A2_6 A3_9 A3_6 0.0755450532073065
A2_6 A3_7 A3_7 0.023801094757550403
A2_6 A3_2 A3_6 0.030854626652088744
A2_6 A3_5 A3_3 0.06865249142749137
A2_6 A3_8 A3_7 0.07047735103432633
A2_6 A3_6 A3_6 0.023307613453675404
A2_6 A3_9 A3_7 0.03182131666742805
A2_6 poetry 0.07158925759638576
A2_7 A3_9 A3_9 0.007628740055766482
A2_7 A3_3 A3_0 0.07838865882006874
A2_7 A3_5 A3_4 0.04755278410016721
A2_7 A3_0 A3_1 0.02503066978598134
A2_7 A3_7 A3_8 0.03745811666951185
A2_7 A3_3 A3_4 0.07117190995032249
A2_7 A3_8 A3_0 0.06682722859731093
A2_7 A3_3 A3_5 0.02983141153765122
A2_7 A3_8 A3_3 0.018721896132902215
A2_7 A3_3 A3_9 0.002732947631789557
A2_7 A3_1 A3_5 0.0074602147086887845
A2_7 A3_7 A3_5 0.05637765136368148
A2_7 A3_3 A3_1 0.055123512140026684
A2_7 A3_1 A3_7 0.004935898627797643
A2_7 A3_9 A3_5 0.0766165610798142
A2_7 A3_1 A3_1 0.04048724424581988
A2_7 A3_6 A3_7 0.0631022980035686
A2_7 A3_6 A3_4 0.04538906051963314
A2_7 A3_4 A3_1 0.04022253074834679
A2_7 A3_2 A3_0 0.057777804188472455
A2_7 existence 0.1671628610926784
A2_8 A3_6 A3_6 0.0697748854043692
A2_8 A3_5 A3_4 0.008745081466143726
A2_8 A3_5 A3_0 0.02608930765250233
A2_8 A3_3 A3_2 0.045287929249021724
A2_8 A3_5 A3_2 0.011053151358120026
A2_8 A3_8 A3_5 0.04290626650345269
A2_8 A3_9 A3_3 0.008168131930101049
A2_8 A3_0 A3_2 0.07460342041591277
A2_8 A3_5 A3_6 0.07370748643727551
A2_8 A3_5 A3_8 0.017960140472361205
A2_8 A3_9 A3_1 0.001019475495142519
A2_8 A3_1 A3_8 0.05104141498770166
A2_8 A3_0 A3_8 0.07492087568405309
A2_8 A3_7 A3_3 0.0027179261744620493
A2_8 A3_2 A3_7 0.015782624215085594
A2_8 A3_1 A3_4 0.026137838469789607
A2_8 A3_7 A3_4 0.011021697648220051
A2_8 A3_8 A3_6 0.041779570314768595
A2_8 A3_3 A3_1 0.07486586705528744
A2_8 A3_6 A3_3 0.0509315953806698
A2_8 otherwise 0.2714853136855597
A2_9 A3_8 A3_5 0.06622417301992499
A2_9 A3_5 A3_3 0.05045285059158017
A2_9 A3_0 A3_0 0.0794373446185368
A2_9 A3_8 A3_5 0.02569558039104176
A2_9 A3_1 A3_2 0.07317694500354835
A2_9 A3_8 A3_5 0.04651005426064929
A2_9 A3_2 A3_9 0.04634873763600475
A2_9 A3_6 A3_7 0.011262384805989062
A2_9 A3_4 A3_8 0.06038142680718961
A2_9 A3_3 A3_3 0.07931943521282998
A2_9 A3_6 A3_6 0.04342928649953513
A2_9 A3_6 A3_2 0.04933695488645516
A2_9 A3_0 A3_3 0.06789778036087998
A2_9 A3_3 A3_2 0.05680939014461126
A2_9 A3_0 A3_8 0.060078028210494655
A2_9 A3_2 A3_6 0.03318276966661874
A2_9 A3_2 A3_5 0.06459879346609121
A2_9 A3_1 A3_5 0.026278209879586803
A2_9 pictures 0.059579854538432356
A3_0 A4_7 A4_2 0.0658603716665016
A3_0 A4_3 A4_6 0.0006746312733553968
A3_0 A4_6 A4_9 0.014450401536090706
A3_0 A4_1 A4_0 0.04257418402132733
A3_0 A4_9 A4_7 0.05175299158299263
A3_0 A4_4 A4_9 0.029286274823426703
A3_0 A4_4 A4_3 0.058098447392960516
A3_0 A4_7 A4_7 0.07998310164352519
A3_0 A4_4 A4_4 0.022143653848377888
A3_0 A4_5 A4_9 0.041229128268102724
A3_0 A4_3 A4_8 0.04492004619645786
A3_0 A4_8 A4_1 0.06939643646736299
A3_0 A4_0 A4_3 0.05374372965974561
A3_0 A4_2 A4_7 0.024902131227445265
A3_0 A4_3 A4_9 0.06642686115433495
A3_0 A4_8 A4_1 0.05225226942760768
A3_0 A4_8 A4_5 0.06540971529758194
A3_0 A4_4 A4_5 0.05595044919624042
A3_0 A4_6 A4_7 0.0025115729716019553
A3_0 A4_4 A4_5 0.029658435599128445
A3_0 fans 0.12877516674583214
A3_1 A4_3 A4_8 0.030815355075383744
A3_1 A4_9 A4_1 0.000697762979372546
A3_1 A4_1 A4_7 0.014929800466706604
A3_1 A4_5 A4_7 0.024696932560038694
A3_1 A4_5 A4_9 0.0366228772008131
A3_1 A4_9 A4_0 0.0649045824962389
A3_1 A4_8 A4_3 0.006250750564997307
A3_1 A4_5 A4_6 0.04880044899338152
A3_1 A4_1 A4_5 0.009410447840875642
A3_1 A4_8 A4_3 0.03266667448646089
A3_1 A4_7 A4_5 0.007164991529303677
A3_1 A4_9 A4_5 0.060187536515911966
A3_1 A4_8 A4_4 0.020681321182430965
A3_1 A4_9 A4_7 0.03570653091685015
A3_1 A4_5 A4_2 0.007117562623617893
A3_1 A4_9 A4_8 0.012147659134087038
A3_1 A4_3 A4_7 0.048407989660785744
A3_1 A4_3 A4_4 0.03779777259735721
A3_1 A4_2 A4_7 0.06445413860192548
A3_1 A4_8 A4_6 0.01386057597120573
A3_1 fm 0.4226782886022553
A3_2 A4_7 A4_7 0.029574414365869963
A3_2 A4_0 A4_0 0.03423897397340656
A3_2 A4_8 A4_2 0.014749029548563098
A3_2 A4_5 A4_3 0.03737124640829287
A3_2 A4_0 A4_9 0.05866147211486306
A3_2 A4_2 A4_6 0.032679665295630426
A3_2 A4_1 A4_9 0.04819591519794896
A3_2 A4_6 A4_7 0.07737452145783409
A3_2 A4_4 A4_1 0.02084642196591308
A3_2 A4_5 A4_1 0.033745893064411704
A3_2 A4_1 A4_2 0.03506580114563772
A3_2 A4_8 A4_3 0.0563783198421814
A3_2 A4_3 A4_6 0.07921268097298571
A3_2 A4_3 A4_6 0.051154515942894184
A3_2 A4_9 A4_6 0.05086328001962421
A3_2 A4_3 A4_2 0.050797871357048614
A3_2 A4_1 A4_9 0.06489173156055751
A3_2 A4_0 A4_2 0.010914569518059048
A3_2 A4_9 A4_2 0.02640112597681634
A3_2 A4_4 A4_6 0.05026471793004464
A3_2 walter 0.13661783234141692
A3_3 A4_7 A4_8 0.0571236449760923
A3_3 A4_4 A4_7 0.0060617217933657055
A3_3 A4_9 A4_8 0.02142584533793026
A3_3 A4_0 A4_7 0.07633374698623696
A3_3 A4_6 A4_9 0.07976918718125289
A3_3 A4_5 A4_6 0.019021441410276493
A3_3 A4_5 A4_7 0.02593835789847278
A3_3 A4_0 A4_6 0.05935504348895819
A3_3 A4_1 A4_0 0.0049812118019549175
A3_3 A4_5 A4_7 0.07894809548270475
A3_3 A4_8 A4_0 0.06338646905271934
A3_3 A4_8 A4_9 0.06958958547766401
A3_3 A4_1 A4_6 0.07117775357703306
A3_3 A4_5 A4_2 0.054502289778616445
A3_3 A4_2 A4_7 0.05489142358495285
A3_3 A4_9 A4_4 0.02922225350681464
A3_3 A4_4 A4_4 0.020771610425038216
A3_3 A4_0 A4_3 0.04207018838130304
A3_3 A4_3 A4_6 0.05560024298642992
A3_3 A4_3 A4_6 0.037101281565539226
A3_3 duty 0.07272860530664396
A3_4 A4_6 A4_8 0.0010075719357809044
A3_4 A4_7 A4_6 0.060921101491781544
A3_4 A4_4 A4_5 0.026255387873346216
A3_4 A4_7 A4_5 0.05164693247380673
A3_4 A4_2 A4_6 0.05420339810853354
A3_4 A4_0 A4_9 0.029179283143682323
A3_4 A4_0 A4_9 0.04179217465846546
A3_4 A4_8 A4_0 0.05067253216037299
A3_4 A4_2 A4_7 0.07123756296641616
A3_4 A4_7 A4_0 0.06242571522795108
A3_4 A4_7 A4_1 0.038790168509296605
A3_4 A4_3 A4_3 0.05934964381599626
A3_4 A4_7 A4_7 0.03176411451493101
A3_4 A4_0 A4_1 0.07240054045832489
A3_4 A4_4 A4_3 0.06670298426237785
A3_4 A4_2 A4_2 0.009165056901902507
A3_4 A4_7 A4_9 0.021981715664892085
A3_4 A4_2 A4_9 0.019198223405420822
A3_4 A4_4 A4_5 0.016637667593240202
A3_4 A4_4 A4_7 0.026464250635458743
A3_4 bowl 0.188203974198022
A3_5 A4_8 A4_6 0.06864279053028058
A3_5 A4_7 A4_0 0.07807259781840922
A3_5 A4_5 A4_8 0.07555476752163723
A3_5 A4_0 A4_9 0.07298188925173646
